LAD23NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
North East Derbyshire,102003,4835,5383,5481,4826,4580,5624,5704,5586,5604,6340,7743,7822,7140,6447,6870,5465,3563,2990
North East Lincolnshire,156953,8457,9522,9568,8398,7973,9316,10404,9520,8415,9457,11078,11806,10212,8742,8857,6218,4666,4344
North Hertfordshire,133189,7473,8229,8267,6650,5829,7637,8675,9011,9400,9531,9473,9428,7758,6546,6739,5012,3662,3869
North Kesteven,118064,5529,6616,6638,5892,5501,6623,7081,6923,6542,7467,8987,9055,7607,6669,7620,5818,4090,3406
North Lincolnshire,169691,8448,9643,10109,8906,8119,9676,10619,10297,9275,10402,12514,12985,11413,10033,10233,7293,5002,4724
North Norfolk,102988,3668,4423,4816,4412,3883,4306,4628,4574,4500,5528,7068,8119,8553,8349,9457,7013,4758,4933
North Northamptonshire,359540,20209,22473,23241,19760,17783,22371,24861,24388,23336,23945,26467,24908,20464,18014,18385,13071,8250,7614
North Somerset,216688,10655,12254,12838,10827,9787,10791,12325,13059,13403,14127,15497,15773,13506,12518,13944,10751,7276,7357
North Tyneside,208967,10995,11947,12151,10364,9509,12209,13863,14310,13629,13635,14635,15223,13599,12152,11818,7847,5634,5447
North Warwickshire,65049,3205,3638,3625,3225,3136,3729,4068,3801,3554,4202,5104,5061,4426,3743,3953,2944,1921,1714
North West Leicestershire,104711,5453,5870,6055,5437,5789,6251,6734,6501,6291,7181,8073,7627,6447,5641,6067,4357,2662,2275
North Yorkshire,615511,27720,31235,33670,31947,26258,31324,33720,33236,33288,37870,46599,49685,45150,39960,42217,30426,21179,20027
Northumberland,320539,14237,16687,17410,15674,13903,15914,16934,17399,17413,19672,23214,25781,24765,22589,22978,15805,10585,9579
